col_0,col_1,col_2,col_3,col_4,N,col_6,col_7,(%),col_9,col_10,Valid (%),col_12
Valid,,01: Good work,,1850,,,18.5,,,42.2,,
,,02: Welfare schemes,,768,,,7.7,,,17.5,,
,,03: Uniform Civil Code (UCC),,101,,,1.0,,,2.3,,
,,04: Removing Article 370,,253,,,2.5,,,5.8,,
,,05: Construction of the Ayodhya Ram Mandir,,355,,,3.5,,,8.1,,
,,06: Protection of Hindu interests/Hindutva,,165,,,1.6,,,3.8,,
,,07: India‟s international image,,165,,,1.7,,,3.8,,
,,08: Modi is a great leader,,420,,,4.2,,,9.6,,
,,09: CAA (Citizenship Amendment Act),,30,,,.3,,,.7,,
,,97: Any other,,46,,,.5,,,1.1,,
,,98: No response,,233,,,2.3,,,5.3,,
,,Total,,4388,,,43.8,,,100.0,,
